   Permno    date           rtn
   14593    20060119      -0.041885
   14593    20060120      -0.037275
   14593    20060123       0.020778
   14593    20060124      -0.020986
   14593    20060125      -0.024198
   14593    20060126      -0.025202
   14593    20060127      -0.004148
   14593    20060130       0.041233
   14593    20060131       0.006800
   14593    20060201      -0.001192
   14593    20060202      -0.044020
   14593    20060203      -0.003509
   14593    20060206      -0.063287
   14593    20060207       0.004458
   14593    20060208       0.017899
   14593    20060209      -0.056097
   14593    20060210       0.036336
   14593    20060213      -0.038627
   14593    20060214       0.045356
   14593    20060215       0.023283
   14593    20060216       0.019503
   14593    20060217      -0.003968
   14593    20060221      -0.017214
   14593    20060222       0.032426
   14593    20060223       0.006029
   14593    20060224      -0.004042
   14593    20060227      -0.006577
   14593    20060228      -0.035216
   14593    20060301       0.008906
   14593    20060302       0.007381
   14593    20060303      -0.027151
   14593    20060306      -0.033077
   14593    20060307       0.012676
   14593    20060308      -0.009802
   14593    20060309      -0.026348
   14593    20060310      -0.011575
   14593    20060313       0.039405
   14593    20060314       0.024970
   14593    20060315      -0.016191
   14593    20060316      -0.028990
   14593    20060317       0.005442
   14593    20060320      -0.010362
   14593    20060321      -0.034068
   14593    20060322      -0.002265
   14593    20060323      -0.024485
   14593    20060324      -0.003324
   14593    20060327      -0.007505
   14593    20060328      -0.013443
   14593    20060329       0.061659
   14593    20060330       0.006738
   14593    20060331      -0.000478
   14593    20060403      -0.001116
   14593    20060404      -0.023623
   14593    20060405       0.098741
   14593    20060406       0.059961
   14593    20060407      -0.020354
   14593    20060410      -0.016048
   14593    20060411      -0.009902
   14593    20060412      -0.018826
   14593    20060413      -0.003613
   14593    20060417      -0.024944
   14593    20060418       0.021740
   14593    20060419      -0.008608
   14593    20060420       0.030160
   14593    20060421      -0.008724
   14593    20060424      -0.019242
   14593    20060425       0.006388
   14593    20060426       0.029923
   14593    20060427       0.017755
   14593    20060428       0.014850
   14593    20060501      -0.011223
   14593    20060502       0.029023
   14593    20060503      -0.006702
   14593    20060504      -0.000141
   14593    20060505       0.010685
   14593    20060508       0.000000
   14593    20060509      -0.011963
   14593    20060510      -0.006054
   14593    20060511      -0.034703
   14593    20060512      -0.006603
   14593    20060515       0.001329
   14593    20060516      -0.041452
   14593    20060517       0.004309
   14593    20060518      -0.031873
   14593    20060519       0.021051
   14593    20060522      -0.017517
   14593    20060523      -0.003629
   14593    20060524       0.003009
   14593    20060525       0.015630
   14593    20060526      -0.012141
   14593    20060530      -0.036649
   14593    20060531      -0.023685
   14593    20060601       0.040154
   14593    20060602      -0.008203
   14593    20060605      -0.026922
   14593    20060606      -0.004617
   14593    20060607      -0.019390
   14593    20060608       0.037480
   14593    20060609      -0.025016
   14593    20060612      -0.037812
   14593    20060613       0.023333
   14593    20060614      -0.012344
   14593    20060615       0.030724
   14593    20060616      -0.030650
   14593    20060619      -0.006254
   14593    20060620       0.004720
   14593    20060621       0.006786
   14593    20060622       0.029727
   14593    20060623      -0.012588
   14593    20060626       0.002720
   14593    20060627      -0.026445
