date       ibm      bnd3a
20030819 -0.003951 0.005596377
20030820 -0.001683 -0.001949347
20030821 -0.002408 -0.003588573
20030822 0.001448 0.003122495
20030825 -0.012173 -0.003093267
20030826 0.006589 0.002189622
20030827 -0.006061 -0.002423465
20030828 -0.001219 0.006468931
20030829 0.001343 -0.001162487
20030902 0.045726 -0.005686556
20030903 0.006646 2.924447e-05
20030904 0.018302 0.004347896
20030905 -0.01092 0.00835078
20030908 0.024727 -0.001734004
20030909 0.003591 0.001098552
20030910 -0.017669 0.005129842
20030911 0.000911 -0.002763387
20030912 0.008872 0.003654102
20030915 -0.002368 0.002409571
20030916 0.020341 -0.002495734
20030917 0.003766 0.004813763
20030918 0.015116 0.0003429551
20030919 0.013913 0.001342110
20030922 -0.020262 -0.002743251
20030923 -0.000547 0.001915353
20030924 -0.021239 0.003677470
20030925 0.000112 0.001279663
20030926 -0.004026 0.004225458
20030929 0.004492 -0.002039603
20030930 -0.012521 0.007289403
20031001 0.022869 0.0004784487
20031002 -0.002988 -0.003410423
20031003 0.006217 -0.0100164
20031006 0.005958 0.003387855
20031007 0.005703 -0.004729084
20031008 0.010469 0.0006280331
20031009 -0.002266 -0.002628949
20031010 0.00238 0.002999874
20031013 0.005719 0.0004278197
20031014 -0.00515 -0.003914235
20031015 0.000216 -0.001977220
20031016 -0.037309 -0.003304079
20031017 -0.00056 0.004536718
20031020 -0.002578 0.001517212
20031021 -0.000787 0.0008291993
20031022 -0.005285 0.003509326
20031023 -0.003504 -0.001681798
20031024 0.003063 0.005888143
20031027 0.001131 -0.002726422
20031028 0.01559 0.004398356
20031029 -0.006229 -0.004398356
20031030 -0.002462 -0.002904992
20031031 0.00404 0.002421412
20031103 0.002235 -0.002849329
20031104 -0.006021 0.002934684
20031105 -0.007292 -0.002677912
20031106 0.011414 -0.003400440
20031107 -0.012089 -0.001518212
20031110 0.019148 -0.0008890801
20031111 -0.006559 0.0001434535
20031112 0.014884 0.003207977
20031113 0.004411 0.007464422
20031114 -0.009222 0.003428591
20031117 -0.004986 0.002740076
20031118 -0.009466 0.001015028
20031119 0.005059 -0.003500554
20031120 -0.011298 0.00375415
20031121 0.002715 0.000647787
20031124 0.011621 -0.003977831
20031125 -0.002565 0.002174252
20031126 0.005367 -0.002570078
20031128 0.007007 -0.004052088
20031201 0.005191 -0.002644113
20031202 -0.002857 0.001536142
20031203 -0.004959 -0.001650025
20031204 0.012403 0.002275184
20031205 -0.008532 0.008232595
20031208 0.006178 -0.00321707
20031209 -0.00625 -0.003369247
20031210 0.012137 0.001841752
20031211 0.007304 0.003504115
20031212 0.003355 0.0003384572
20031215 -0.006472 -0.0008463579
20031216 0.020302 0.002367999
20031217 -0.006172 0.002306222
20031218 -0.007173 0.002328943
20031219 0.004421 0.0008404539
20031222 0.002684 -0.001260946
20031223 -0.006425 -0.004918849
20031224 -0.005604 0.003965079
20031226 0.006828 0.002802614
20031229 0.006674 -0.003307920
20031230 -0.009517 -0.002305185
20031231 0.00054 0.001153257
20040102 -0.012192 -0.005864458
20040105 0.016384 0.0006501675
20040106 0.000107 0.005354841
20040107 -0.003009 0.001909523
20040108 0.002802 0.0001683124
20040109 -0.019669 0.008351887
20040112 0.003728 0.0008897292
20040113 -0.020208 0.002581291
20040114 0.0068 0.002076844
20040115 0.041081 0.0002765869
20040116 0.013827 -0.001716073
20040120 0.018674 -0.001053244
20040121 0.006179 0.0009701338
20040122 -0.001945 0.003153355
20040123 0.004 -0.004789268
20040126 0.019918 -0.003029337
20040127 -0.010516 0.00272404
20040128 -0.014373 -0.005762582
20040129 0.00647 0.000334971
20040130 0.012448 0.002981874
20040202 0.001612 -0.0003896465
20040203 0.006137 0.002585525
20040204 0.0019 -0.001278026
20040205 -0.013275 -0.002533092
20040206 0.002428 0.004449519
20040209 0.000101 0.001857371
20040210 0.00667 -0.001968368
20040211 0.003514 0.003960511
20040212 -0.006603 -0.002047537
20040213 0.004129 0.002185733
20040217 -0.00341 0.0002487047
20040218 -0.00956 0
20040219 -0.006299 0.0001381425
20040220 -0.00501 -0.002738780
20040223 -0.013873 0.003180708
20040224 0.008649 0.0006901216
20040225 -0.002583 0.0008826613
20040226 0.00259 -0.001186256
20040227 -0.002996 0.003554555
20040301 0.005596 0.0004399956
20040302 -0.002267 -0.002642882
20040303 0.000207 -0.0007169843
20040304 -0.004647 0.001984237
20040305 0.000622 0.00999885
20040308 -0.019285 0.002966675
20040309 -0.000634 0.002605582
20040310 -0.015551 -0.0008949032
20040311 -0.01988 -0.0006784905
20040312 0.022914 -0.0007061188
20040315 -0.015863 -0.0001901941
20040316 0.006861 0.0039865
20040317 0.010168 -0.0004872899
20040318 -0.005782 -0.002792957
20040319 -0.013247 -0.001657767
20040322 -0.006549 0.003583844
20040323 0.003296 0.0001354995
20040324 0.004928 0
20040325 0.006756 -0.0008675144
20040326 0.004113 -0.004430619
20040329 -0.00097 -0.001635858
20040330 -0.003884 -0.0004639801
20040331 -0.005199 0.003787419
20040401 0.005771 -0.003132451
20040402 0.019812 -0.01215929
20040405 -0.000212 -0.003541002
20040406 -0.005097 0.002269897
20040407 -0.006617 0.000387029
20040408 0.00043 -0.001382935
20040412 0.006658 -0.0008306798
20040413 -0.007467 -0.005026462
20040414 0.007094 -0.002592517
20040415 0.002882 -0.001396609
20040416 -0.017984 0.002819144
20040419 -0.003684 -0.0009202326
20040420 -0.014031 -0.002094593
20040421 0.006729 -0.001090924
20040422 -0.005698 0.002990207
20040423 0.005951 -0.004362545
20040426 -0.009312 0.001652176
20040427 0.00752 0.001537709
20040428 -0.007683 -0.004395735
20040429 -0.014711 -0.002950642
20040430 -0.010216 0.001687147
20040503 -0.001701 0.0005336704
20040504 0.011134 -0.001658119
20040505 -0.000449 -0.00273205
20040506 -0.004721 -0.001919712
20040507 -0.001924 -0.009226336
20040510 -0.014854 -0.0001426106
20040511 0.002878 0.0009123568
20040512 -0.003673 -0.001483003
20040513 0.004377 -0.002800882
20040514 -0.008946 0.003685245
20040517 -0.010184 0.004438508
20040518 0.006197 -0.001647915
20040519 0.011504 -0.002049473
20040520 0.00425 0.004009617
20040521 -0.003317 -0.001988581
20040524 -0.000344 0.001506003
20040525 0.01837 0.0009932883
20040526 -0.003946 0.002747682
20040527 0.002716 0.004177847
20040528 0 -0.003810174
20040601 -0.005305 -0.001613109
20040602 -0.001589 -0.001700825
20040603 -0.007161 0.0007940785
20040604 0.002404 -0.003236984
20040607 0.012334 0.001136977
20040608 0.015794 0.0005396118
20040609 0.000555 -0.002131742
20040610 0.004107 0.0008816713
20040614 -0.004311 -0.003788153
